id,class_name,start_time,start_time_tag,duration_value,duration_tag,health_club_name,area,address,attendance_mode,sport_catalog,muscle_group,audience_type
c0,WOD,2022-10-11T06:00:00+02:00,Morning,60,Normal,Powerbox Amsterdam,Zuid-oost,Keienbergweg 36 1101 GC Amsterdam,Offline,Crossfit,Full body,Intermediate
c1,Bootcamp,2022-10-11T06:30:58+02:00,Morning,44,Normal,Dope Camp West,West,Reinaert de Vosstraat 33 1055 CL Amsterdam,Offline,"Bootcamp, Fitness",Full body,Beginner
c2,Butt & Legs Online Workout,2022-10-11T07:00:00+02:00,Morning,45,Normal,BEAT81 - LIVESTREAM,online,Online Class,Online,"Bbb, Bootcamp, Hiit, Other","Booty, Legs",Beginner
c3,IMPACT strength,2022-10-11T07:00:00+02:00,Morning,45,Normal,Fight District,Centrum,Danzigerbocht 45A 1013 AM Amsterdam,Offline,"Bbb, Boxing, Hiit, Kickboxing, Other","Arms, Chest",Beginner
c4,Heavybag training all level,2022-10-11T07:00:00+02:00,Morning,45,Normal,Mejiro Gym,Centrum,Lauriergracht 86 1016 RP Amsterdam,Offline,Martial arts,Full body,Beginner
c5,BBB,2022-10-11T07:00:00+02:00,Morning,45,Normal,The Workout Studio - A,Zuid,Albert Cuypstraat 116A 1072 CZ Amsterdam,Offline,"Bbb, Pre/post-natal","Booty, Core, Legs",Beginner
c6,High Impact,2022-10-11T07:00:00+02:00,Morning,45,Normal,Gympact,West,Postjesweg 128G 1061AX Amsterdam,Offline,"Bbb, Bootcamp, Boxing, Fitness, Hiit, Other",Full body,Intermediate
c7,BBB (Booty core legs),2022-10-11T07:00:00+02:00,Morning,45,Normal,The Body Studio Oost,Oost,Dapperstraat 271 1093BS Amsterdam,Offline,Hiit,"Booty, Legs",Intermediate
c8,RIDE 45,2022-10-11T07:15:00+02:00,Morning,45,Normal,CITY ALPS,Oost,Polderweg 190 1093KP Amsterdam,Offline,"Cycling, Other","Booty, Legs",Beginner
c9,BBB - Small group,2022-10-11T07:30:00+02:00,Morning,45,Normal,The Workout Lab,Other,Baarsjesweg 289 1058 AG Amsterdam,Offline,"Bbb, Hiit","Booty, Core, Legs",Beginner
c10,Basic Pilates (hot cabin),2022-10-11T07:45:00+02:00,Morning,30,Short,bbb health boutique Amsterdam Jordaan,Centrum,Hazenstraat 51 1016 SN Amsterdam,Offline,"Fitness, Pilates, Yoga",Booty,Beginner
c11,bbb30 (hot cabin),2022-10-11T07:45:00+02:00,Morning,30,Short,bbb health boutique Amsterdam Amstel,Centrum,Amstel 163 1018 ET Amsterdam,Offline,"Fitness, Pilates, Yoga","Booty, Legs",Beginner
c12,ABS & Core Online Workout,2022-10-11T08:00:00+02:00,Morning,45,Normal,BEAT81 - LIVESTREAM,online,Online Class,Online,"Bbb, Bootcamp, Hiit, Other","Booty, Legs",Beginner
c13,CrossFit,2022-10-11T08:00:00+02:00,Morning,60,Normal,SQM Gym,Zuid,Havenstraat 4 1075LA Amsterdam,Offline,"Bbb, Boxing, Crossfit, Hiit, Kickboxing, Other",Full body,Beginner
c14,Crosstraining Upper Body,2022-10-11T08:00:00+02:00,Morning,60,Normal,Het Gymlokaal Noord,Noord,Grasweg 53a 53b 1031HX Amsterdam,Offline,"Barre, Bbb, Boxing, Hiit, Kickboxing, Other, Pilates, Yin yoga, Yoga","Arms, Chest",Intermediate
c15,HOT PILATES,2022-10-11T08:00:00+02:00,Morning,60,Normal,Movements City,Centrum,Utrechtsedwarsstraat 31 1017WB Amsterdam,Offline,"Hot yoga, Pilates, Yin yoga",Full body,Beginner
c16,HOT PILATES,2022-10-11T08:00:00+02:00,Morning,60,Normal,Movements Yoga,West,Overtoom 230 1054HZ Amsterdam,Offline,"Hot yoga, Mindfulness, Pilates",Full body,Beginner
c17,Pranayama Yoga Nidra & Meditation,2022-10-11T08:15:00+02:00,Morning,60,Normal,Divine Soul Yoga,Zuid,Bernissestraat 12B 1079 ZW Amsterdam,Offline,"Mindfulness, Yin yoga, Yoga",Full body,Beginner
c18,Kickboxing - bagtraining,2022-10-11T08:30:00+02:00,Morning,60,Normal,Eastbound Gym,Oost,Tweede van Swindenstraat 1 1093VE Amsterdam,Offline,"Bbb, Boxing, Kickboxing, Other, Yin yoga, Yoga","Arms, Chest, Legs",Beginner
c19,Core Flow,2022-10-11T08:30:00+02:00,Morning,60,Normal,Equal Yoga Linnaeusstraat,Oost,Linnaeusstraat 30 1092 CL Amsterdam,Offline,"Hot yoga, Yoga",Full body,Beginner
c20,Red Light Session,2022-10-11T09:00:00+02:00,Morning,15,Short,Freezlab - Red light therapy,Zuid,Olympisch stadion 36 1076 DE Amsterdam,Offline,Other,Full body,Beginner
c21,BJJ,2022-10-11T09:00:00+02:00,Morning,60,Normal,Gym Royale,Noord,Klaprozenweg 42 1032 KL Amsterdam,Offline,"Hiit, Kickboxing, Martial arts, Other, Yoga","Arms, Chest, Legs",Beginner
c22,BBB - Studio B,2022-10-11T09:00:00+02:00,Morning,45,Normal,The Workout Studio - B,Zuid,Albert Cuypstraat 116B 1072 CZ Amsterdam,Offline,Bootcamp,"Booty, Core, Legs",Beginner
